Access is denied.
,957 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/auth/derive-api-key "HTTP/2 200 OK"
2026-03-16 16:37:17,968 - bot - INFO - Polymarket API kredencijali derivirani
2026-03-16 16:37:17,975 - bot - INFO - API Key: fbb433b7-4530-5f1e-0c3e-0689a03e15dc
2026-03-16 16:37:17,975 - bot - INFO - Polymarket klijent inicijaliziran!
2026-03-16 16:37:17,975 - bot - INFO - \u2705 Polymarket klijent inicijaliziran
2026-03-16 16:37:19,592 - bot - INFO - \U0001f986 Duck1312 Bot se pokreæe...
2026-03-16 16:37:20,171 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8721355269:AAFDShoTO5tNCzElFfjZo7Xv52nrnDL2qDg/getMe "HTTP/1.1 200 OK"
2026-03-16 16:37:20,173 - bot - INFO - Auto-trading pokrenut za chat 8417313669, Polymarket: SPOJEN
2026-03-16 16:37:20,174 - bot - INFO - Auto-trading: skeniram tržišta...
2026-03-16 16:37:20,264 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/sampling-markets?next_cursor=MA== "HTTP/2 200 OK"
2026-03-16 16:37:20,675 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8721355269:AAFDShoTO5tNCzElFfjZo7Xv52nrnDL2qDg/sendMessage "HTTP/1.1 200 OK"
2026-03-16 16:37:20,729 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8721355269:AAFDShoTO5tNCzElFfjZo7Xv52nrnDL2qDg/deleteWebhook "HTTP/1.1 200 OK"
2026-03-16 16:37:20,732 - telegram.ext.Application - INFO - Application started
2026-03-16 16:37:20,797 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8721355269:AAFDShoTO5tNCzElFfjZo7Xv52nrnDL2qDg/sendMessage "HTTP/1.1 200 OK"
2026-03-16 16:37:20,885 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=67565972075898091709163371829761231762318232475740950317083391526954889294846 "HTTP/2 200 OK"
2026-03-16 16:37:20,975 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=103839456992405565726868179020008626822011827310693291614954291931191338865400 "HTTP/2 200 OK"
2026-03-16 16:37:21,071 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/tick-size?token_id=67565972075898091709163371829761231762318232475740950317083391526954889294846 "HTTP/2 200 OK"
2026-03-16 16:37:21,128 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/neg-risk?token_id=67565972075898091709163371829761231762318232475740950317083391526954889294846 "HTTP/2 200 OK"
2026-03-16 16:37:21,199 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/fee-rate?token_id=67565972075898091709163371829761231762318232475740950317083391526954889294846 "HTTP/2 200 OK"
2026-03-16 16:37:21,317 - httpx - INFO - HTTP Request: POST https://clob.polymarket.com/order "HTTP/2 400 Bad Request"
2026-03-16 16:37:21,318 - bot - ERROR - Auto-trade greška za 'Cap on gambling loss deductions repealed': PolyApiException[status_code=400, error_message={'error': 'invalid amount for a marketable BUY order ($0.04704), min size: $1'}]
2026-03-16 16:37:21,420 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=41583919731714354912849507182398941127545694257513505398713274521520484370640 "HTTP/2 200 OK"
2026-03-16 16:37:21,519 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=77561864081904257466881861992966973663334838144590020887681006880259960197549 "HTTP/2 200 OK"
2026-03-16 16:37:21,615 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=41480954438913063970197792021573332585554410838284506333996743209224990064024 "HTTP/2 200 OK"
2026-03-16 16:37:21,725 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=70963008880021254228771190647726911759536509259304029983946935833811359615992 "HTTP/2 200 OK"
2026-03-16 16:37:21,851 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=39437292826767693760422550980817174078437966735695178411252552844889624222280 "HTTP/2 200 OK"
2026-03-16 16:37:21,946 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=70702358899020234295974411191493283331885371886687749484133365656723585927454 "HTTP/2 200 OK"
2026-03-16 16:37:22,043 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/tick-size?token_id=39437292826767693760422550980817174078437966735695178411252552844889624222280 "HTTP/2 200 OK"
2026-03-16 16:37:22,119 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/neg-risk?token_id=39437292826767693760422550980817174078437966735695178411252552844889624222280 "HTTP/2 200 OK"
2026-03-16 16:37:22,218 - httpx - INFO - HTTP Request: GET https://clob.polymarket.com/fee-rate?token_id=39437292826767693760422550980817174078437966735695178411252552844889624222280 "HTTP/2 200 OK"
2026-03-16 16:37:22,344 - httpx - INFO - HTTP Request: POST https://clob.polymarket.com/order "HTTP/2 400 Bad Request"
